# Mapfile. Created by GNU ddrescue version 1.23
# Command line: ddrescue -d /dev/sdb dump.img ddrescue.log -r 1
# Start time:   2023-02-28 18:26:58
# Current time: 2023-02-28 19:22:09
# Retrying bad sectors... Retry 1 (forwards)
# current_pos  current_status  current_pass
0x000AC200     -               1
#      pos        size  status
0x00093400  0x00000600  -
0x00093A00  0x00000400  +
0x00093E00  0x00000600  -
0x00094400  0x00000400  +
0x00094800  0x00000200  -
0x00094A00  0x00000400  +
0x00094E00  0x00000400  -
0x00095200  0x00000600  +
0x00095800  0x00000600  -
0x00095E00  0x00000400  +
0x00096200  0x00000600  -
0x00096800  0x00000800  +
0x00097000  0x00000800  -
0x00097800  0x00000400  +
0x00097C00  0x00000600  -
0x00098200  0x00000400  +
0x00098600  0x00000600  -
0x00098C00  0x00000400  +
0x00099000  0x00000200  -
0x00099200  0x00000400  +
0x00099600  0x00000400  -
0x00099A00  0x00000600  +
0x0009A000  0x00000600  -
0x0009A600  0x00000400  +
0x0009AA00  0x00000600  -
0x0009B000  0x00000800  +
0x0009B800  0x00000800  -
0x0009C000  0x00000600  +
0x0009C600  0x00000400  -
0x0009CA00  0x00000400  +
0x0009CE00  0x00000600  -
0x0009D400  0x00000400  +
0x0009D800  0x00000200  -
0x0009DA00  0x00000400  +
0x0009DE00  0x00000400  -
0x0009E200  0x00000600  +
0x0009E800  0x00000600  -
0x0009EE00  0x00000400  +
0x0009F200  0x00000600  -
0x0009F800  0x00000800  +
0x000A0000  0x00000800  -
0x000A0800  0x00000600  +
0x000A0E00  0x00000400  -
0x000A1200  0x00000600  +
0x000A1800  0x00000400  -
0x000A1C00  0x00000400  +
0x000A2000  0x00000200  -
0x000A2200  0x00000400  +
0x000A2600  0x00000400  -
0x000A2A00  0x00000600  +
0x000A3000  0x00000600  -
0x000A3600  0x00000400  +
0x000A3A00  0x00000600  -
0x000A4000  0x00000800  +
0x000A4800  0x00000800  -
0x000A5000  0x00000400  +
0x000A5400  0x00000600  -
0x000A5A00  0x00000400  +
0x000A5E00  0x00000600  -
0x000A6400  0x00000400  +
0x000A6800  0x00000200  -
0x000A6A00  0x00000400  +
0x000A6E00  0x00000400  -
0x000A7200  0x00000600  +
0x000A7800  0x00000600  -
0x000A7E00  0x00000400  +
0x000A8200  0x00000600  -
0x000A8800  0x00000800  +
0x000A9000  0x00000800  -
0x000A9800  0x00000400  +
0x000A9C00  0x00000600  -
0x000AA200  0x00000400  +
0x000AA600  0x00000600  -
0x000AAC00  0x00000400  +
0x000AB000  0x00000200  -
0x000AB200  0x00000400  +
0x000AB600  0x00000400  -
0x000ABA00  0x00000600  +
0x000AC000  0x00000600  -
0x000AC600  0x00000400  +
0x000ACA00  0x00000600  -
0x000AD000  0x00000800  +
0x000AD800  0x00000800  -
0x000AE000  0x00000400  +
0x000AE400  0x00000600  -
0x000AEA00  0x00000400  +
0x000AEE00  0x00000600  -
0x000AF400  0x00000400  +
0x000AF800  0x00000200  -
0x000AFA00  0x00000400  +
0x000AFE00  0x00000400  -
0x000B0200  0x00000600  +
0x000B0800  0x00000600  -
0x000B0E00  0x00000400  +
0x000B1200  0x00000600  -
0x000B1800  0x00000800  +
0x000B2000  0x00000800  -
0x000B2800  0x00000400  +
0x000B2C00  0x00000600  -
0x000B3200  0x00000400  +
0x000B3600  0x00000600  -
0x000B3C00  0x00000400  +
0x000B4000  0x00000200  -
0x000B4200  0x00000400  +
0x000B4600  0x00000400  -
0x000B4A00  0x00000600  +
0x000B5000  0x00000600  -
0x000B5600  0x00000400  +
0x000B5A00  0x00000600  -
0x000B6000  0x00000800  +
0x000B6800  0x00000800  -
0x000B7000  0x00000400  +
